query_id,rank,recommended_place_name,recommended_district,recommended_place_type,baseline_score,raw_rank,district_bonus,place_type_bonus,time_bonus,context_bonus,target_bonus,rank_bonus,final_variant_score,score
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,1,성수동 골목상권,성동구,market,0.4211,18,1.0,1.0,0.7,0.61,0.75,0.653061,1.5431,1.5431
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,2,마장축산물시장,성동구,market,0.4644,5,1.0,1.0,0.7,0.35,0.75,0.918367,1.5344,1.5344
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,3,마장동축산물시장,성동구,market,0.4211,16,1.0,1.0,0.7,0.43,0.75,0.693878,1.5071,1.5071
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,4,성수동 카페거리,성동구,market,0.4211,19,1.0,1.0,0.7,0.43,0.75,0.632653,1.5071,1.5071
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,5,성수역,성동구,market,0.4211,20,1.0,1.0,0.7,0.43,0.75,0.612245,1.5071,1.5071
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,6,성수역 3번출구 앞,성동구,market,0.4211,21,1.0,1.0,0.7,0.43,0.75,0.591837,1.5071,1.5071
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,7,쌍리단길·생문시장,성동구,market,0.4211,22,1.0,1.0,0.7,0.43,0.75,0.571429,1.5071,1.5071
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,8,아지오 성수점,성동구,market,0.4211,23,1.0,1.0,0.7,0.43,0.75,0.55102,1.5071,1.5071
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,9,성동용답상가시장,성동구,market,0.4344,6,1.0,1.0,0.7,0.35,0.75,0.897959,1.5044,1.5044
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,10,송정벚꽃골목형상점가,성동구,market,0.4303,7,1.0,1.0,0.7,0.35,0.75,0.877551,1.5003,1.5003
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,1,종로노인종합복지관,종로구,senior_friendly,0.7444,1,1.0,0.0,0.8,0.0,0.0,1.0,1.4444,1.4444
