query_id,evaluation_context,gold_id,date,day_of_week,time,district,place_name,address,place_type,campaign_activity_type,target_voter_group,context_tags,gold_label_0_3,source_image,relevance,is_strong_positive,normalized_place_key
2026-03-10_17:40_중구,2026-03-10 17:40 중구에서 유세 장소를 추천,GWON_006,2026-03-10,화,17:40,중구,황학시장 입구,확인 필요,전통시장,지역상권방문,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,3,정원오20260310.jpg,3,True,황학시장입구
2026-03-11_15:10_영등포구,2026-03-11 15:10 영등포구에서 유세 장소를 추천,GWON_009,2026-03-11,수,15:10,영등포구,영등포전통시장 남문,서울 영등포구 영등포동5가,전통시장,지역상권방문,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,3,정원오20260311.jpg,3,True,영등포전통시장남문
2026-03-11_16:20_영등포구,2026-03-11 16:20 영등포구에서 유세 장소를 추천,GWON_010,2026-03-11,수,16:20,영등포구,대림중앙시장,대림역 12번출구,전통시장,지역상권방문,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,3,정원오20260311.jpg,3,True,대림중앙시장
2026-03-12_16:00_강서구,2026-03-12 16:00 강서구에서 유세 장소를 추천,GWON_015,2026-03-12,목,16:00,강서구,방신전통시장,서울특별시 강서구 방화동로16길 31 방신전통시장 입구,전통시장,지역상권방문,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;강서구;지역상권;생활밀착,3,정원오20260312.jpg,3,True,방신전통시장
2026-03-12_17:25_강서구,2026-03-12 17:25 강서구에서 유세 장소를 추천,GWON_016,2026-03-12,목,17:25,강서구,남부골목시장,서울특별시 강서구 화곡동 943-7 남부골목시장,골목상권,지역상권방문,상인;지역주민;생활권 유권자,골목상권;지역상권방문;저녁;강서구;지역상권;생활밀착,3,정원오20260312.jpg,3,True,남부골목시장
2026-03-13_14:10_노원구,2026-03-13 14:10 노원구에서 유세 장소를 추천,GWON_017,2026-03-13,금,14:10,노원구,상계중앙시장,서울특별시 노원구 상계로 147,전통시장,지역상권방문,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;노원구;지역상권;생활밀착,3,정원오20260313.jpg,3,True,상계중앙시장
2026-03-13_14:50_노원구,2026-03-13 14:50 노원구에서 유세 장소를 추천,GWON_018,2026-03-13,금,14:50,노원구,구립수락노인종합복지관,서울특별시 노원구 수락산로 214,복지시설,복지현장방문,노년층;복지수요자;지역주민,복지시설;복지현장방문;오후;노원구;복지;노년층,3,정원오20260313.jpg,3,True,구립수락노인종합복지관
2026-03-13_15:30_노원구,2026-03-13 15:30 노원구에서 유세 장소를 추천,GWON_019,2026-03-13,금,15:30,노원구,공릉도깨비시장,서울특별시 노원구 동일로 1032,전통시장,지역상권방문,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;노원구;지역상권;생활밀착,3,정원오20260313.jpg,3,True,공릉도깨비시장
2026-03-16_13:00_구로구,2026-03-16 13:00 구로구에서 유세 장소를 추천,GWON_021,2026-03-16,월,13:00,구로구,남구로시장,서울시 구로구 구로동로 138,전통시장,지역상권방문,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;구로구;지역상권;생활밀착,3,정원오20260316.jpg,3,True,남구로시장
2026-03-16_14:00_구로구,2026-03-16 14:00 구로구에서 유세 장소를 추천,GWON_022,2026-03-16,월,14:00,구로구,궁동종합사회복지관,서울시 구로구 오리로22길 5,복지시설,복지현장방문,노년층;복지수요자;지역주민,복지시설;복지현장방문;오후;구로구;복지;노년층,3,정원오20260316.jpg,3,True,궁동종합사회복지관
2026-03-17_14:00_마포구,2026-03-17 14:00 마포구에서 유세 장소를 추천,GWON_025,2026-03-17,화,14:00,마포구,"망원시장, 월드컵시장",서울시 마포구 월드컵로 13길 64,전통시장,지역상권방문,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;마포구;지역상권;생활밀착,3,정원오20260317.jpg,3,True,망원시장월드컵시장
2026-03-19_10:00_송파구,2026-03-19 10:00 송파구에서 유세 장소를 추천,GWON_026,2026-03-19,목,10:00,송파구,잠실학생체육관,송파구 올림픽로 25,체육시설,체육행사,생활체육 참여자;지역주민;일반시민,체육시설;체육행사;오전;송파구,3,정원오20260319.jpg,3,True,잠실학생체육관
2026-03-24_17:00_광화문,2026-03-24 17:00 광화문에서 유세 장소를 추천,GWON_031,2026-03-24,화,17:00,광화문,세종대로 사거리 광화문 광장,세종대로 사거리 광화문 광장,교통거점,퇴근인사,직장인;퇴근길 유권자;일반시민,교통거점;퇴근인사;저녁;광화문;퇴근시간,3,정원오20260324.jpg,3,True,세종대로사거리광화문광장
2026-03-24_17:40_종로구,2026-03-24 17:40 종로구에서 유세 장소를 추천,GWON_032,2026-03-24,화,17:40,종로구,세종마을 음식문화거리,세종마을 음식문화거리,골목상권,지역상권방문,상인;지역주민;생활권 유권자,골목상권;지역상권방문;저녁;종로구;지역상권;생활밀착,3,정원오20260324.jpg,3,True,세종마을음식문화거리
2026-03-25_17:20_광진구,2026-03-25 17:20 광진구에서 유세 장소를 추천,GWON_034,2026-03-25,수,17:20,광진구,중곡제일골목시장,서울특별시 광진구 중곡동 221-16,골목상권,지역상권방문,상인;지역주민;생활권 유권자,골목상권;지역상권방문;저녁;광진구;지역상권;생활밀착,3,정원오20260325.jpg,3,True,중곡제일골목시장
2026-03-25_18:15_광진구,2026-03-25 18:15 광진구에서 유세 장소를 추천,GWON_035,2026-03-25,수,18:15,광진구,건대 맛의거리,서울특별시 광진구 동일로22길,골목상권,지역상권방문,상인;지역주민;생활권 유권자,골목상권;지역상권방문;저녁;광진구;지역상권;생활밀착,3,정원오20260325.jpg,3,True,건대맛의거리
