gold_id,candidate_name,date,day_of_week,d_day,time,district,place_name,address,event_title,place_type,campaign_activity_type,online_offline,target_voter_group,context_tags,gold_label_0_3,gold_label_reason,use_for_place_recommendation,use_for_message_recommendation,source_image
GWON2_001,정원오,2026-04-06,월,D-58,07:30,해당 없음,MBC 김종배의 시선집중,해당 없음,MBC 김종배의 시선집중,방송/언론,방송출연,온라인,언론시청자,"방송,온라인,메시지노출",1,방송·라이브 일정으로 캠페인 노출 효과는 있으나 장소 추천 정답으로는 약하다.,False,True,정원오20260406.jpg
GWON2_002,정원오,2026-04-06,월,D-58,10:00,해당 없음,오마이TV 박정호의 핫스팟,해당 없음,오마이TV 박정호의 핫스팟,방송/언론,방송출연,온라인,언론시청자,"방송,온라인,메시지노출",1,방송·라이브 일정으로 캠페인 노출 효과는 있으나 장소 추천 정답으로는 약하다.,False,True,정원오20260406.jpg
GWON2_003,정원오,2026-04-06,월,D-58,16:30,강북구,수유시장,서울특별시 강북구 도봉로67길 34,강북 하나씩 착착 - 수유시장 방문인사,전통시장,방문인사,오프라인,"상인,지역주민","전통시장,지역상권,방문인사,오후",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,True,True,정원오20260406.jpg
GWON2_004,정원오,2026-04-06,월,D-58,18:00,성북구,성북천 상점가,서울특별시 성북구 동소문로 2,성북 하나씩 착착 - (갑)성북천 상점가,골목상권,지역상권방문,오프라인,"상인,지역주민,직장인","골목상권,상점가,퇴근시간,지역상권",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,True,True,정원오20260406.jpg
GWON2_005,정원오,2026-04-06,월,D-58,19:00,성북구,성북(을)지역사무소,서울특별시 성북구 화랑로 95,성북 하나씩 착착 - (을)지역사무소,선거사무소,선거조직행사,오프라인,"당원/조직,지역주민","선거사무소,조직,저녁",2,오프라인 일정이고 장소적 의미가 있으나 직접 유세 장소보다는 접촉성이 중간 수준이다.,True,True,정원오20260406.jpg
GWON2_006,정원오,2026-04-07,화,D-57,07:30,해당 없음,CBS 박성태의 뉴스쇼,해당 없음,CBS 박성태의 뉴스쇼,방송/언론,방송출연,온라인,언론시청자,"방송,온라인,메시지노출",1,방송·라이브 일정으로 캠페인 노출 효과는 있으나 장소 추천 정답으로는 약하다.,False,True,정원오20260407.jpg
GWON2_007,정원오,2026-04-07,화,D-57,12:00,해당 없음,백운기의 정어리TV,해당 없음,백운기의 정어리TV,방송/언론,방송출연,온라인,언론시청자,"방송,온라인,메시지노출",1,방송·라이브 일정으로 캠페인 노출 효과는 있으나 장소 추천 정답으로는 약하다.,False,True,정원오20260407.jpg
GWON2_008,정원오,2026-04-07,화,D-57,15:40,동작구,남성사계시장,동작구 동작대로 129,동작 하나씩 착착 - (을) 남성사계시장,전통시장,지역상권방문,오프라인,"상인,지역주민","전통시장,지역상권,오후",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,True,True,정원오20260407.jpg
GWON2_009,정원오,2026-04-07,화,D-57,16:40,동작구,성대전통시장,동작구 성대로 14,동작 하나씩 착착 - (갑) 성대전통시장,전통시장,지역상권방문,오프라인,"상인,지역주민","전통시장,지역상권,오후",3,실제 오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 평가의 강한 정답으로 적합하다.,True,True,정원오20260407.jpg
GWON2_010,정원오,2026-04-07,화,D-57,18:00,해당 없음,박시영TV,해당 없음,박시영TV,방송/언론,방송출연,온라인,언론시청자,"방송,온라인,메시지노출",1,방송·라이브 일정으로 캠페인 노출 효과는 있으나 장소 추천 정답으로는 약하다.,False,True,정원오20260407.jpg
