gold_id,candidate_name,date,day_of_week,d_day,time,district,place_name,address,event_title,place_type,campaign_activity_type,online_offline,target_voter_group,context_tags,gold_label_0_3,gold_label_reason,use_for_place_recommendation,use_for_message_recommendation,source_image
GWON_001,정원오,2026-03-09,월,D-86,08:00,동작구,국립서울현충원,확인 필요,김대중 전 대통령 묘소 참배,추모/상징공간,추모행사,오프라인,일반시민;상징의제 관심층,추모/상징공간;추모행사;오전;동작구,2,장소적 의미는 있으나 공약발표·간담회·상징행사 성격이 강해 보조 정답으로 적합함,True,True,정원오20260309.jpg
GWON_002,정원오,2026-03-09,월,D-86,10:00,온라인,정원오TV/와이티비/스픽스/팩트TV,온라인 동시송출,출마선언 영상 공개,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;오전;온라인;방송;온라인노출,0,온라인 중심 또는 장소 정보가 부족해 장소 추천 평가에는 부적합함,False,False,정원오20260309.jpg
GWON_003,정원오,2026-03-09,월,D-86,12:45,서울 외,봉하마을,경남 김해 봉하마을,노무현 전 대통령 묘소 참배,추모/상징공간,추모행사,오프라인,일반시민;상징의제 관심층,추모/상징공간;추모행사;오후;서울 외,2,장소적 의미는 있으나 공약발표·간담회·상징행사 성격이 강해 보조 정답으로 적합함,False,True,정원오20260309.jpg
GWON_004,정원오,2026-03-09,월,D-86,13:00,확인 필요,확인 필요,확인 필요,권양숙 여사 예방,기타,기타,오프라인,확인 필요,기타;오후;확인 필요,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260309.jpg
GWON_005,정원오,2026-03-10,화,D-85,15:40,온라인,최욱의 매불쇼,확인 필요,<최욱의 매불쇼> 출연,방송/언론,방송출연,온라인,언론시청자;일반시민,방송/언론;방송출연;오후;온라인;방송;온라인노출,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260310.jpg
GWON_006,정원오,2026-03-10,화,D-85,17:40,중구,황학시장 입구,확인 필요,"""지역방문"" 하나씩 중구 착착!",전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;저녁;중구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260310.jpg
GWON_007,정원오,2026-03-11,수,D-84,09:30,확인 필요,서울시청출입기자 프레스데이,상암동 확인 필요,서울시청출입기자 프레스데이,방송/언론,기자회견,오프라인,언론시청자;일반시민,방송/언론;기자회견;오전;확인 필요;방송;온라인노출,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260311.jpg
GWON_008,정원오,2026-03-11,수,D-84,14:00,영등포구,국회 소통관,국회 소통관,국회출입기자 프레스데이,공공기관,기자회견,오프라인,정책관심층;조직관계자;일반시민,공공기관;기자회견;오후;영등포구,1,캠페인 노출은 있으나 방송·토론·조직행사 중심이라 장소 추천 정답으로는 약함,False,True,정원오20260311.jpg
GWON_009,정원오,2026-03-11,수,D-84,15:10,영등포구,영등포전통시장 남문,서울 영등포구 영등포동5가,하나씩 영등포 착착!,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260311.jpg
GWON_010,정원오,2026-03-11,수,D-84,16:20,영등포구,대림중앙시장,대림역 12번출구,하나씩 영등포 착착!,전통시장,지역상권방문,오프라인,상인;지역주민;생활권 유권자,전통시장;지역상권방문;오후;영등포구;지역상권;생활밀착,3,오프라인 방문이며 장소성과 지역 유권자 접촉 가능성이 높아 장소 추천 정답으로 적합함,True,True,정원오20260311.jpg
