query_id,candidate_name,evaluation_context,gold_id,date,day_of_week,time,district,place_name,address,place_type,campaign_activity_type,target_voter_group,context_tags,gold_label_0_3,source_image,relevance,is_strong_positive,normalized_place_key
OH_20260429_1030_성동구_쌍리단길생문시장_OH_0008,오세훈,오세훈 2026-04-29 10:30 성동구에서 유세 장소를 추천,OH_0008,2026-04-29,수,10:30,성동구,쌍리단길·생문시장,확인 필요,골목상권,지역상권방문,상인,manual_visual_review;address_review_required;골목상권;지역상권방문;성동구;오전,3,오세훈0429.jpg,3,True,쌍리단길생문시장
OH_20260501_1140_종로구_서울배달라이더현장_OH_0016,오세훈,오세훈 2026-05-01 11:40 종로구에서 유세 장소를 추천,OH_0016,2026-05-01,금,11:40,종로구,서울배달라이더 현장,확인 필요,노동현장,현장방문,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,3,오세훈0501.jpg,3,True,서울배달라이더현장
OH_20260501_1550_성동구_서울숲_OH_0019,오세훈,오세훈 2026-05-01 15:50 성동구에서 유세 장소를 추천,OH_0019,2026-05-01,금,15:50,성동구,서울숲,확인 필요,공원,거리인사,일반시민,manual_visual_review;address_review_required;공원;거리인사;성동구;오후,3,오세훈0501.jpg,3,True,서울숲
OH_20260501_1630_성동구_서울숲야외무대_OH_0020,오세훈,오세훈 2026-05-01 16:30 성동구에서 유세 장소를 추천,OH_0020,2026-05-01,금,16:30,성동구,서울숲 야외무대,확인 필요,공원,행사참석,일반시민,manual_visual_review;address_review_required;공원;행사참석;성동구;오후,3,오세훈0501.jpg,3,True,서울숲야외무대
OH_20260502_0700_마포구_상암동월드컵공원_OH_0021,오세훈,오세훈 2026-05-02 07:00 마포구에서 유세 장소를 추천,OH_0021,2026-05-02,토,07:00,마포구,상암동 월드컵공원,확인 필요,체육시설,행사참석,일반시민,manual_visual_review;address_review_required;체육시설;행사참석;마포구;오전,3,오세훈0502.jpg,3,True,상암동월드컵공원
OH_20260502_0930_성북구_상경청년자취방_OH_0022,오세훈,오세훈 2026-05-02 09:30 성북구에서 유세 장소를 추천,OH_0022,2026-05-02,토,09:30,성북구,상경청년 자취방,확인 필요,정책현장,현장방문,청년,manual_visual_review;address_review_required;정책현장;현장방문;성북구;오전,3,오세훈0502.jpg,3,True,상경청년자취방
OH_20260503_0830_용산구_효창운동장_OH_0027,오세훈,오세훈 2026-05-03 08:30 용산구에서 유세 장소를 추천,OH_0027,2026-05-03,일,08:30,용산구,효창운동장,확인 필요,체육시설,행사참석,상인,manual_visual_review;address_review_required;체육시설;행사참석;용산구;오전,3,오세훈0503.jpg,3,True,효창운동장
OH_20260504_1400_구로구_온수역_OH_0034,오세훈,오세훈 2026-05-04 14:00 구로구에서 유세 장소를 추천,OH_0034,2026-05-04,월,14:00,구로구,온수역,확인 필요,정책현장,현장방문,직장인,manual_visual_review;address_review_required;정책현장;현장방문;구로구;오후,3,오세훈0504.jpg,3,True,온수역
OH_20260505_1330_중구_서울광장_OH_0038,오세훈,오세훈 2026-05-05 13:30 중구에서 유세 장소를 추천,OH_0038,2026-05-05,화,13:30,중구,서울광장,확인 필요,공원,행사참석,일반시민,manual_visual_review;address_review_required;공원;행사참석;중구;오후,3,오세훈0505.jpg,3,True,서울광장
OH_20260505_1430_중구_ddp_OH_0039,오세훈,오세훈 2026-05-05 14:30 중구에서 유세 장소를 추천,OH_0039,2026-05-05,화,14:30,중구,DDP,확인 필요,정책현장,행사참석,일반시민,manual_visual_review;address_review_required;정책현장;행사참석;중구;오후,3,오세훈0505.jpg,3,True,ddp
OH_20260505_1540_서초구_예술의전당_OH_0040,오세훈,오세훈 2026-05-05 15:40 서초구에서 유세 장소를 추천,OH_0040,2026-05-05,화,15:40,서초구,예술의전당,확인 필요,공원,행사참석,일반시민,manual_visual_review;address_review_required;공원;행사참석;서초구;오후,3,오세훈0505.jpg,3,True,예술의전당
OH_20260506_0640_성동구_마장동축산물시장_OH_0041,오세훈,오세훈 2026-05-06 06:40 성동구에서 유세 장소를 추천,OH_0041,2026-05-06,수,06:40,성동구,마장동축산물시장,확인 필요,전통시장,지역상권방문,상인,manual_visual_review;address_review_required;전통시장;지역상권방문;성동구;오전,3,오세훈0506.jpg,3,True,마장동축산물시장
OH_20260506_1030_중구_장충체육관_OH_0042,오세훈,오세훈 2026-05-06 10:30 중구에서 유세 장소를 추천,OH_0042,2026-05-06,수,10:30,중구,장충체육관,확인 필요,복지시설,행사참석,어르신,manual_visual_review;address_review_required;복지시설;행사참석;중구;오전,3,오세훈0506.jpg,3,True,장충체육관
OH_20260507_1000_영등포구_대림1구역재개발현장_OH_0047,오세훈,오세훈 2026-05-07 10:00 영등포구에서 유세 장소를 추천,OH_0047,2026-05-07,목,10:00,영등포구,대림1구역 재개발 현장,확인 필요,재개발/도시개발현장,현장방문,직장인;지역주민,manual_visual_review;address_review_required;재개발;도시개발현장;현장방문;영등포구;오전;재개발/도시개발현장,3,오세훈0507.jpg,3,True,대림1구역재개발현장
OH_20260507_1500_광진구_구의2동주택재개발후보지_OH_0050,오세훈,오세훈 2026-05-07 15:00 광진구에서 유세 장소를 추천,OH_0050,2026-05-07,목,15:00,광진구,구의2동 주택재개발 후보지,확인 필요,재개발/도시개발현장,현장방문,지역주민,manual_visual_review;address_review_required;재개발;도시개발현장;현장방문;광진구;오후;재개발/도시개발현장,3,오세훈0507.jpg,3,True,구의2동주택재개발후보지
OH_20260508_1030_중구_서울장애인종합복지관_OH_0052,오세훈,오세훈 2026-05-08 10:30 중구에서 유세 장소를 추천,OH_0052,2026-05-08,금,10:30,중구,서울장애인종합복지관,확인 필요,복지시설,행사참석,어르신,manual_visual_review;address_review_required;복지시설;행사참석;중구;오전,3,오세훈0508.jpg,3,True,서울장애인종합복지관
OH_20260508_1400_서대문구_가좌역광장_OH_0053,오세훈,오세훈 2026-05-08 14:00 서대문구에서 유세 장소를 추천,OH_0053,2026-05-08,금,14:00,서대문구,가좌역광장,확인 필요,공원,행사참석,직장인,manual_visual_review;address_review_required;공원;행사참석;서대문구;오후,3,오세훈0508.jpg,3,True,가좌역광장
OH_20260509_1500_동대문구_청량리경동시장일대_OH_0058,오세훈,오세훈 2026-05-09 15:00 동대문구에서 유세 장소를 추천,OH_0058,2026-05-09,토,15:00,동대문구,청량리 경동시장 일대,확인 필요,전통시장,지역상권방문,상인,manual_visual_review;address_review_required;전통시장;지역상권방문;동대문구;오후,3,오세훈0509.jpg,3,True,청량리경동시장일대
OH_20260511_1420_구로구_고척1동이동약자현장_OH_0062,오세훈,오세훈 2026-05-11 14:20 구로구에서 유세 장소를 추천,OH_0062,2026-05-11,월,14:20,구로구,고척1동 이동약자 현장,확인 필요,정책현장,현장방문,일반시민,manual_visual_review;address_review_required;정책현장;현장방문;구로구;오후,3,오세훈0511.jpg,3,True,고척1동이동약자현장
OH_20260512_1000_종로구_광화문광장감사의정원_OH_0065,오세훈,오세훈 2026-05-12 10:00 종로구에서 유세 장소를 추천,OH_0065,2026-05-12,화,10:00,종로구,광화문광장 감사의정원,확인 필요,공원,행사참석,일반시민,manual_visual_review;address_review_required;공원;행사참석;종로구;오전,3,오세훈0512.jpg,3,True,광화문광장감사의정원
OH_20260515_1500_송파구_잠실mice현장_OH_0083,오세훈,오세훈 2026-05-15 15:00 송파구에서 유세 장소를 추천,OH_0083,2026-05-15,금,15:00,송파구,잠실 MICE 현장,확인 필요,정책현장,현장방문,일반시민,manual_visual_review;address_review_required;정책현장;현장방문;송파구;오후,3,오세훈0515.jpg,3,True,잠실mice현장
OH_20260516_0830_노원구_공릉동_OH_0086,오세훈,오세훈 2026-05-16 08:30 노원구에서 유세 장소를 추천,OH_0086,2026-05-16,토,08:30,노원구,공릉동,확인 필요,정책현장,거리인사,청년,manual_visual_review;address_review_required;정책현장;거리인사;노원구;오전,3,오세훈0516.jpg,3,True,공릉동
OH_20260516_1000_송파구_잠실보조경기장_OH_0087,오세훈,오세훈 2026-05-16 10:00 송파구에서 유세 장소를 추천,OH_0087,2026-05-16,토,10:00,송파구,잠실보조경기장,확인 필요,체육시설,행사참석,일반시민,manual_visual_review;address_review_required;체육시설;행사참석;송파구;오전,3,오세훈0516.jpg,3,True,잠실보조경기장
OH_20260517_1300_중랑구_중랑서울장미축제_OH_0093,오세훈,오세훈 2026-05-17 13:00 중랑구에서 유세 장소를 추천,OH_0093,2026-05-17,일,13:00,중랑구,중랑 서울장미축제,확인 필요,공원,거리인사,일반시민,manual_visual_review;address_review_required;공원;거리인사;중랑구;오후,3,오세훈0517.jpg,3,True,중랑서울장미축제
