gold_id,candidate_name,date,day_of_week,d_day,time,district,place_name,address,event_title,place_type,campaign_activity_type,online_offline,target_voter_group,context_tags,gold_label_0_3,gold_label_reason,use_for_place_recommendation,use_for_message_recommendation,source_image,review_required,review_reason,ocr_text
,오세훈,2026-04-27,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0427.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-04-28,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0428.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-04-29,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0429.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-04-30,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0430.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-01,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0501.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-02,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0502.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-03,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0503.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-04,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0504.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-05,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0505.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-06,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0506.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-07,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0507.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-08,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0508.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-09,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0509.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-10,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0510.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-11,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0511.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-12,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0512.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
,오세훈,2026-05-13,,,,,,,,,,unknown,,,0,OCR 결과가 없어 수동 검수 전까지 장소 추천 평가에서 제외함,False,False,오세훈0513.jpg,True,OCR unavailable: Korean language data 'kor' is not installed,OCR unavailable: Korean language data 'kor' is not installed
